Hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,67,67,67,67,67,67,67
1,65,65,65,65,65,65,65
2,60,60,60,60,60,60,60
3,60,60,60,60,60,60,60
4,61,61,61,61,61,61,61
5,63,63,63,63,63,63,63
6,65,65,65,65,65,65,65
7,67,67,67,67,67,67,67
8,68,68,68,68,68,68,68
9,68,68,68,68,68,68,68
10,68,68,68,68,68,68,68
11,68,68,68,68,68,68,68
12,68,68,68,68,68,68,68
13,68,68,68,68,68,68,68
14,68,68,68,68,68,68,68
15,68,68,68,68,68,68,68
16,68,68,68,68,68,68,68
17,68,68,68,68,68,68,68
18,68,68,68,68,68,68,68
19,68,68,68,68,68,68,68
20,68,68,68,68,68,68,68
21,68,68,68,68,68,68,68
22,68,68,68,68,68,68,68
23,67,67,67,67,67,67,67
